id,title,headline,level,locale,rating_average,rating_count,duration_seconds,is_free,is_practice_test_course,instructors,lectures_count,practice_test_questions_count,badges,updated_on,url_course_landing,url_course_taking,image_240x135,tracking_id,hands_on_ribbons
2868022,"Curso completo de Excel: VBA, T. Dinámicas, Dax, P.Query y +","Conviértete en un Experto en Excel. Te enseño las Herramientas + potentes como VBA, Power Query y Pivot, DAX y +(2021)",ALL_LEVELS,es-LA,4.6135711669921875,2139,137689,False,False,Alvaro O.|Master Analytics,397,3,,2022-01-21,https://www.udemy.com/course/microsoft-excel-vba-power-query-pivot-macros-dax-graficos-tdinamicas,https://www.udemy.com/course/microsoft-excel-vba-power-query-pivot-macros-dax-graficos-tdinamicas/learn,https://img-c.udemycdn.com/course/240x135/2868022_837f_6.jpg,azHsaXSjQDSY3WDLOiXBkg,
6978109,实战C/C++从零到精通-上篇：C语言,C/C++从零到精通：系统掌握语言核心与现代开发实践,INTERMEDIATE,zh-CN,5,1,75946,False,False,Xiaoqi Zhao,82,0,New,2025-12-25,https://www.udemy.com/course/master-c-cpp-part1,https://www.udemy.com/course/master-c-cpp-part1/learn,https://img-c.udemycdn.com/course/240x135/6978109_5c2a_4.jpg,N0mJBAUFTuyC6ecI6V-qzQ,
5891848,Lập trình PHP cơ bản cho người mới học,Tiếp cận lập trình PHP từ cơ bản nhất,ALL_LEVELS,vi-VN,4.581968784332275,21,61324,False,False,Anh Nguyễn Ngọc,165,0,Highest Rated,2025-07-17,https://www.udemy.com/course/lap-trinh-php-co-ban-cho-nguoi-moi-hoc,https://www.udemy.com/course/lap-trinh-php-co-ban-cho-nguoi-moi-hoc/learn,https://img-c.udemycdn.com/course/240x135/5891848_78cc_3.jpg,nNL7XVnrTd2YJ978a59YTg,
3664828,Redes Neuronales Aplicadas a la Inteligencia de Negocios,Modelos de Calificación Crediticia (Credit Scoring) a través de Aprendizaje Profundo (Deep Learning) con Neuralnet de R,ALL_LEVELS,es-LA,4.355334758758545,38,26369,False,False,"Carlos Martínez, PhD • Instructor with 20+ Best-Selling  Courses|Mercedes Chávez",65,0,Highest Rated|Highest Rated,2025-11-18,https://www.udemy.com/course/redes-neuronales-aplicadas-a-la-inteligencia-de-negocios,https://www.udemy.com/course/redes-neuronales-aplicadas-a-la-inteligencia-de-negocios/learn,https://img-c.udemycdn.com/course/240x135/3664828_bc39_3.jpg,pRBhUBtXR_iFaidkZJcHWw,
5990898,"Lập trình Spring Boot, Web, Spring Data với Github Copilot","Làm chủ Spring Boot, Spring WEB, Spring Data JPA, Thymeleaf và Github Copilot trong 1 khóa học",ALL_LEVELS,vi-VN,5,10,114384,False,False,Anh Nguyễn Ngọc,262,0,,2025-08-18,https://www.udemy.com/course/lap-trinh-spring-boot-web-spring-data-voi-github-copilot,https://www.udemy.com/course/lap-trinh-spring-boot-web-spring-data-voi-github-copilot/learn,https://img-c.udemycdn.com/course/240x135/5990898_5ed0.jpg,y9aP1r47SsucUKoTdzhf4w,
2597546,Analyse de données statistiques avec SPSS,Devenez un expert en analyse statistique univariées et multivariées avec SPSS,BEGINNER,fr-FR,3.3675601482391357,36,44375,False,False,Elie Chancelin Keukoua|Emilienne Nina Leudjeu,79,0,,2020-06-02,https://www.udemy.com/course/analyse-de-donnees-statistiques-avec-spss,https://www.udemy.com/course/analyse-de-donnees-statistiques-avec-spss/learn,https://img-c.udemycdn.com/course/240x135/2597546_705c_2.jpg,xNODOVNCQDmo9I1lG4ENsA,
3673324,【Python】 Django3で「本当に使える」WEBアプリケーションを開発しよう,GAEへデプロイやCloudSQL、GCSとも連携でき、登録・ログイン機能はもちろん、決済機能、フォーム送信のreCAPTCHA実装もできます。そのほかキャッシュやサイトマップ、マテリアルデザインにも触れ、多数の機能を実装します。,BEGINNER,ja-JP,4.33759880065918,164,52753,False,False,taku - www.takux.one,149,0,,2022-11-13,https://www.udemy.com/course/reallysite,https://www.udemy.com/course/reallysite/learn,https://img-c.udemycdn.com/course/240x135/3673324_cbef_3.jpg,k54WmGrTRsyZQy4ePuqwYg,
5316846,Excel - Temelden Uzmanlığa (FULL Paket),Bu eğitim Excel ile ilgili full paket olup temelden en profesyonel seviyeye kadar kolayca tüm Excel'i öğreneceksiniz.,ALL_LEVELS,tr-TR,4.799770832061768,263,101873,False,False,Kenan Çılman,165,0,,2025-12-12,https://www.udemy.com/course/excel-temelden-uzmanlga-full-paket-excel-excel_excel,https://www.udemy.com/course/excel-temelden-uzmanlga-full-paket-excel-excel_excel/learn,https://img-c.udemycdn.com/course/240x135/5316846_699f_2.jpg,9kJhXjULSwysXU8BibSFug,
4683118,実践 Djangoチュートリアル | Python基礎習得済みでDjangoを学び直したい方のためのプログラミングコース,Djangoのチュートリアルを通してDjangoの基礎をしっかり学習していきます。ビューやモデル等はもちろん、自動テストや管理画面カスタマイズも行います。解説を交えたコーディングでPythonとDjangoを楽しみましょう。,BEGINNER,ja-JP,4.597222328186035,49,30264,False,False,taku - www.takux.one,113,0,,2024-12-01,https://www.udemy.com/course/tutorial-django,https://www.udemy.com/course/tutorial-django/learn,https://img-c.udemycdn.com/course/240x135/4683118_5066_3.jpg,2048vsAxTfSgOSqCDkom1Q,
4676304,AZ-104 | Certificação Microsoft Azure Administrator 2025,ATUALIZADO | Treinamento completo preparatório para exame AZ-104 com + 500 aulas em + 45 horas e Simulados.,ALL_LEVELS,pt-BR,4.7394585609436035,608,175756,False,False,Higor Barbosa,515,60,Bestseller|Highest Rated|Highest Rated|Bestseller,2025-11-24,https://www.udemy.com/course/certificacao-az-104,https://www.udemy.com/course/certificacao-az-104/learn,https://img-c.udemycdn.com/course/240x135/4676304_55b4_2.jpg,A2qr7_QZRpyCL7XUF7DUIw,
